lat;long;adresse;commune;codepostal
43.494700643;1.55093626174;A61 AIRE DE TOULOUSE SUD/NORD;DEYME;31450
43.3531181526;1.80887607511;A61-AIRE DE LAURAGAIS NORD LES C;Avig0et-Lauragais;31290
43.3362037352;1.24570649987;AUT A 64   AIRE DE GARONNE;Capens;31410
43.3533206269;1.80632404804;A 61 - AIRE DE PORT LAURAGAIS SU;AVIG0ET-LAURAGAIS;31290
43.48412;1.54916;AIRE DE TOULOUSE SUD|A 61;Deyme;31450
43.81169;1.35975;A62;Castelnau-d'Estrétefonds;31620
49.12625;6.27557;Autoroute de l'Est;Saint-Privat-la-Montagne;57855
49.13309;6.6593;AUTOROUTE A4 - AIRE DE LONGEVILL;Longeville-lès-Saint-Avold;57740
49.1338110001;6.6570447231;AUTOROUTE A4 - AIRE DE LONGEVILLE;LONGEVILLE-LES-SAINT-AVOLD;57740
42.5826075829;2.84472133414;AIRE DU VILLAGE CATALAN OUEST;VILLEMOLAQUE;66300
42.56735;2.85899;A9 - AIRE DES VILLAGES CATALAN;Banyuls-dels-Aspres;66300
42.57601;2.8446;A9 AIRE DU ROUSSILLON;Banyuls-Dels-Aspres;66300
46.75719;2.40245;Route de Nozières;Farges-Allichamps;18200
47.0940821447;2.24252393477;AUTOROUTE A 71;MARMAGNE;18500
46.758048854;2.40233022236;AUTOROUTE A 71;FARGES-ALLICHAMPS;18200
47.0951472401;2.24181025599;AUT A 71 - AIRE DE BOURGES MARMAGNE;Marmagne;18500
43.4210594515;-0.59712616633;AIRE DE LACQ AUDEJOS SUDAUTOROUTE A 64;LACQ;64170
43.42244;-1.59844;AUTOROUTE A 63 LA MADALENA;Bidart;64210
43.2434;-0.04183;A64 Aire des Pyrénées;Ger;64530
43.4212215623;-0.598942803222;AIRE DE LACQ AUDEJOS SUD  SENS BAYONNE - PAU;LACQ;64170
43.2526;-0.05221;A64 Aire des Pyrénées;Ger;64530
43.42214;-1.5976;AUTOROUTE A 63 LA MADALENA;Bidart;64210
43.42857;-0.61091;AIRE DE LACQ AUDEJOS NORD;Lacq;64170
45.6607;3.15268;A75;Veyre-Monton;63960
45.66584;2.67313;autoroute A89;SAINT-JULIEN-PUY-LAVèZE;63820
46.058707223;3.11405330762;A 71 - AIRE DES VOLCANS D AUVERG;CHAMPS;63440
45.95672;2.9887;AUTOROUTE A89;Manzat;63410
43.41346;6.44904;AIRE DE VIDAUBAN NORD A8;VIDAUBAN;83550
43.4618579362;6.68332007146;AUTOROUTE A 8;PUGET-SUR-ARGENS;83480
43.41424;6.45226;AUTOROUTE A8 sens;Vidauban;83550
43.4149264423;6.4359585408;Aire de Vidauban - A 8;VIDAUBAN;83550
43.13552;6.04564;A 570 AIRE DE ST AUGUSTIN;La Crau;83260
49.80751;1.97083;Aire de Croixrault;CROIXRAULT;80290
49.88755;2.83499;A1- AIRE DE ASSEVILLERS EST;Assevillers;80200
49.8951743764;2.84428080011;A1 AIRE DE ASSEVILLERS EST;ASSEVILLERS;80200
49.96446;1.65822;AUTOROUTE A 28;Le Translay;80140
49.96271;1.65733;AUTOROUTE A 28;Le Translay;80140
50.1879883682;1.75592383557;A16 - AIRE DE LA BAIE DE SOMME;SAILLY-FLIBEAUCOURT;80970
49.8878714978;2.83920072237;AUTOROUTE A 1;Péronne;80200
43.73225;-0.23859;AUTOROUTE A65;AIRE  SUR L'ADOUR;40800
43.52547;-1.12251;a 64 aire d'hastingues;Hastingues;40300
47.6662822991;1.38756379794;AUT A 10   AIRE DE VILLERBON;VILLERBON;41000
47.6628916179;1.38748594207;AIRE DE BLOIS MENARS - AUTOROUTE A10;VILLERBON;41000
43.5279386749;-1.15065092516;A64;HASTINGUES;40300
44.360981022;-0.852116730403;AIRE DU MURET;SAUGNACQ-ET-MURET;40410
43.5971268231;-1.42518962674;AUTOUROUTE 63;LABENNE;40530
43.59583;-1.43147;autouroute 63;LABENNE;40530
43.58581;-1.41984;AUTOROUTE A63 COTE EST;Labenne;40530
47.36657;1.70893;A 85;Pruniers-en-Sologne;41200
47.66553;1.38891;AUTOROUTE A 10;Villerbon;41000
43.58724;-1.4201;AUTOROUTE A63 COTE OUEST;Labenne;40530
44.3613728923;-0.850806631003;Autoroute A63;Saugnacq-et-Muret;40410
44.4056307839;-0.840270137027;Aire Portes Landes Ouest;Saugnacq-et-Muret;40410
43.29292;5.45582;A 50 - AIRE DE LA POMME B.P 105;MARSEILLE;13011
44.5840366978;4.53167254913;RN 102;Saint-Jean-le-Centenier;7580
49.5940695373;4.50291882075;A34 AIRE DES ARDENNES WOINIC;Saulces-Monclin;8270
43.8681;4.43767;A 9 AIRE DE NIMES MARGUERITTES;Marguerittes;30320
44.0006525943;4.70062855867;AUTOROUTE A9;Tavel;30126
44.0122139458;4.69658005359;AIRE DE TAVEL SUD;Tavel;30126
43.87516;4.44976;AUTOROUTE A 9;Marguerittes;30320
43.8672393104;4.43548113953;Aire de Nîmes Marguerittes - A 9;MARGUERITTES;30320
43.84527;5.85145;AUTOROUTE A 51  AIRE DE MANOSQUE;Volx;4130
43.94225;5.89247;AUTOROUTE A51 AIRE DE VOLX OUEST;Volx;4130
44.13503;5.96297;aire aubignosc;Aubignosc;4200
43.8428857521;5.85142102246;AUTOROUTE A51 AIRE DE MANOSQUE EST;Volx;4130
47.4439494128;6.73413754229;aire ecot;ECOT;25150
48.0962930639;-0.695125062526;A81-LA SAUVAGERIE   AIRE DE LAVAL BONCHAMPS;Bonchamp-lès-Laval;53960
0.0;0.0;AUTOROUTE A31AIRE DE TOUL CHAUDENEY;CHAUDENEY;54200
48.6635;5.91218;AUTOROUTE A 31;Dommartin-lès-Toul;54200
48.07885;-0.6969;Allée du Bocage;Bonchamp-lès-Laval;53960
48.00083;-0.3581;AUT A 81;THORIGNé-EN-CHARNIE;53270
0.0;0.0;AUTOROUTE A31AIRE DE TOUL CHAUDENEY;CHAUDENEY;54200
45.6977436853;4.97551795926;AUT A 43;SAINT-PRIEST;69800
45.8150950621;4.76860090729;AUTOROUTE A6;DARDILLY;69570
45.80424;4.76983;AIRE DE DARDILLY;Dardilly;69570
45.69779;4.97762;AIRE DE MANISSIEUX;Saint-Priest;69800
45.57057;4.7112;AUTOROUTE A47 AIRE DE SAINT ROMAIN EN GIER;Saint-Romain-en-Gier;69700
45.5788276592;4.72403596174;AUTOROUTE A47 AIRE DE SAINT ROMAIN EN GIER;Givors;69700
45.69539;4.96486;AUTOROUTE A43  AIRE DE SAINT PRIEST;Saint-Priest;69800
45.70176;4.97356;AUTOROUTE A43  AIRE DE MANISSIEUX;Saint-Priest;69800
45.5866080022;4.75447702801;A 47 - Aire de St Romain;GIVORS;69700
49.12625;6.27557;Autoroute de l'Est;Les Petites-Loges;51400
49.0739561031;4.79261494546;A4 aire de Valmy le Moulin;VALMY;51800
