lat;long;Nom;Adresse;Commune;Pôle;Acces_PMR
 47.1790655037078 ; -1.62375737387148;Eglise;place de l'église au 7 bis;Bouguenais;Sud-Ouest;0
 47.1769998188308 ; -1.59307617084829;Neustrie;Station Neustrie Tram;Bouguenais;Sud-Ouest;
 47.1842123665492 ; -1.65444662050528;Roche Ballue;Roche Ballue;Bouguenais;Sud-Ouest;0
 47.1853105827462 ; -1.5870802206819;Leclerc;Les Couëts : rue Maréchal Leclerc;Bouguenais;Sud-Ouest;0
 47.1677644264054 ; -1.62288200246808;Les jardins familiaux;Les jardins familiaux;Bouguenais;Sud-Ouest;0
 47.177349653857 ; -1.62937242933986;Champ Toury;Champ Toury;Bouguenais;Sud-Ouest;0
 47.1942159314792 ; -1.5287989913016;Joliot curie;69 boulevard Joliot Curie;Nantes;Loire Sèvre Vignoble;0
 47.1846939937215 ; -1.54759831529334;Eglise;Place Roger Salengro  rue de Chupiet;Rezé;Loire Sèvre Vignoble;0
 47.1848696885941 ; -1.562394809477;Pays de Retz;place du Pays de Retz;Rezé;Loire Sèvre Vignoble;0
 47.1891001039323 ; -1.55155146434883;08-mai;place du 8 Mai 1945;Rezé;Loire Sèvre Vignoble;0
 47.1835502124466 ; -1.55262697722405;Balinière;Balinière;Rezé;Loire Sèvre Vignoble;
 47.1636165228539 ; -1.53177824945554;La Robinière;CLSH la Robinière;Rezé;Loire Sèvre Vignoble;
 47.1905078077965 ; -1.5650322849317;Cimetière St Pierre;Cimetière St Pierre;Rezé;Loire Sèvre Vignoble;
 47.1847104484583 ; -1.54352670741723;Cimetière St Paul;Cimetière St Paul;Rezé;Loire Sèvre Vignoble;
 47.1830442310594 ; -1.53188936779172;Parc de la Morinière;Parc de la Morinière;Rezé;Loire Sèvre Vignoble;
 47.1915184921957 ; -1.56952629261983;Hôtel de Ville;Hôtel de Ville – Grig0 Dumoulin;Rezé;Loire Sèvre Vignoble;0
 47.1877183941908 ; -1.53754770038832;Parc Chêne Gala;Parc Chêne Gala;Rezé;Loire Sèvre Vignoble;
 47.1647178098502 ; -1.53204691980543;Stade Robinière;Stade Robinière;Rezé;Loire Sèvre Vignoble;
 47.1717283803808 ; -1.55831922900723;Cimetière Classerie;Cimetière Classerie;Rezé;Loire Sèvre Vignoble;
 47.1817949613664 ; -1.57022297073413;Stade Léo lagrange;Trocardière, stade Léo Lagrange;Rezé;Loire Sèvre Vignoble;
