lat;long;Geometry;ARRONDISSEMENT;NUMERO DE VOIE;NOM DE VOIE;HORAIRES OUVERTURE
48.8441411997; 2.44113275967;"{""type"": ""Point"", ""coordinates"": [2.441132759674045, 48.84414119973615]}";12;;AVENUE DE NOGENT;6 h - 22 h
48.8199697602; 2.34772693476;"{""type"": ""Point"", ""coordinates"": [2.347726934756863, 48.81996976021128]}";13;79;BOULEVARD KELLERMANN;6 h - 22 h
48.8223447327; 2.3727636369;"{""type"": ""Point"", ""coordinates"": [2.372763636895758, 48.82234473268878]}";13;;AVENUE CLAUDE REGAUD;6 h - 22 h
48.8226634817; 2.36685643725;"{""type"": ""Point"", ""coordinates"": [2.36685643724587, 48.82266348173257]}";13;27;AVENUE D IVRY;6 h - 22 h
48.8189769485; 2.3575912199;"{""type"": ""Point"", ""coordinates"": [2.357591219899253, 48.81897694851295]}";13;5;BOULEVARD KELLERMANN;24 h / 24
48.8266907029; 2.34180648779;"{""type"": ""Point"", ""coordinates"": [2.341806487785599, 48.82669070294048]}";13;face 129;RUE DE LA GLACIERE;6 h - 22 h
48.8281983631; 2.35845319705;"{""type"": ""Point"", ""coordinates"": [2.358453197049667, 48.82819836307335]}";13;face 159;AVENUE DE CHOISY;6 h - 22 h
48.8293762307; 2.36530148206;"{""type"": ""Point"", ""coordinates"": [2.365301482057994, 48.82937623074487]}";13;;RUE CLISSON;24 h / 24
48.8311339821; 2.34443170401;"{""type"": ""Point"", ""coordinates"": [2.344431704008934, 48.83113398213422]}";13;100;BOULEVARD AUGUSTE BLANQUI;24 h / 24
48.8282285074; 2.376734206;"{""type"": ""Point"", ""coordinates"": [2.376734206003274, 48.82822850742154]}";13;38;RUE DU CHEVALERET;6 h - 22 h
48.8352392611; 2.36878261008;"{""type"": ""Point"", ""coordinates"": [2.368782610076463, 48.83523926106059]}";13;44;BOULEVARD VINCENT AURIOL;24 h / 24
48.8381106104; 2.32233836209;"{""type"": ""Point"", ""coordinates"": [2.322338362086393, 48.838110610351656]}";14;88;AVENUE DU MAINE;6 h - 1 h
48.8354861014; 2.31779797752;"{""type"": ""Point"", ""coordinates"": [2.31779797751881, 48.835486101365184]}";14;opposé au 3;RUE DE L ABBE SOULANGE BODIN;6 h - 22 h
48.8249885208; 2.31127922285;"{""type"": ""Point"", ""coordinates"": [2.311279222850022, 48.824988520831646]}";14;11;AVENUE MAURICE D OCAGNE;6 h - 22 h
48.8322602151; 2.3253096623;"{""type"": ""Point"", ""coordinates"": [2.325309662299757, 48.832260215072495]}";14;;AVENUE DU MAINE;6 h - 22 h
48.8339254348; 2.31456172274;"{""type"": ""Point"", ""coordinates"": [2.314561722738549, 48.83392543480147]}";14;21;RUE DE GERGOVIE;6 h - 22 h
48.84733414; 2.31095990545;"{""type"": ""Point"", ""coordinates"": [2.310959905453926, 48.84733414001092]}";15;4;PLACE DE BRETEUIL;6 h - 22 h
48.8409122347; 2.31642763034;"{""type"": ""Point"", ""coordinates"": [2.316427630336515, 48.84091223472186]}";15;face 55;BOULEVARD DE VAUGIRARD;6 h - 22 h
48.838073564; 2.27798287788;"{""type"": ""Point"", ""coordinates"": [2.277982877876473, 48.83807356396192]}";15;;RUE SAINT CHARLES;6 h - 22 h
48.8360452422; 2.29341777565;"{""type"": ""Point"", ""coordinates"": [2.293417775646962, 48.83604524220066]}";15;face 6;RUE DESNOUETTES;24 h / 24
