geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8528463574, 2.29798828688;"{""type"": ""Point"", ""coordinates"": [2.297988286878163, 48.852846357416354]}";255;15;15/142;86;RUE DE LA FEDERATION;597172.137418;128043.288376;24 h / 24
48.8356684765, 2.30259575059;"{""type"": ""Point"", ""coordinates"": [2.302595750589671, 48.83566847654808]}";259;15;15/149;139;RUE DE L ABBE GROULT;597509.373843;126132.932667;6 h - 22 h
48.8510453349, 2.29512257485;"{""type"": ""Point"", ""coordinates"": [2.295122574851614, 48.851045334925004]}";260;15;15/154;face 22;PLACE DUPLEIX;596961.732911;127843.125758;24 h / 24
48.8465213699, 2.31694564817;"{""type"": ""Point"", ""coordinates"": [2.316945648173304, 48.846521369929214]}";261;15;15/155;6;BOULEVARD DU MONTPARNASSE;598563.092431;127339.409336;24 h / 24
48.8621579607, 2.28638203361;"{""type"": ""Point"", ""coordinates"": [2.286382033607376, 48.86215796069435]}";265;16;16/101;;AVENUE PAUL DOUMER;596321.135719;129079.248831;24 h / 24
48.8459388963, 2.26908155009;"{""type"": ""Point"", ""coordinates"": [2.269081550085641, 48.84593889627871]}";273;16;16/111;37;RUE MIRABEAU;595050.194916;127276.673498;6 h - 22 h
48.8458131187, 2.2559870395;"{""type"": ""Point"", ""coordinates"": [2.255987039503988, 48.84581311871515]}";276;16;16/123;face 21;AVENUE DU GENERAL SARRAIL;594089.137845;127263.634183;6 h - 22 h
48.8905508133, 2.30346768685;"{""type"": ""Point"", ""coordinates"": [2.303467686847891, 48.89055081333051]}";290;17;17/136;face 3;AVENUE DE LA PORTE D ASNIERES;597576.094782;132235.858204;6 h - 22 h
48.8818841939, 2.28601752975;"{""type"": ""Point"", ""coordinates"": [2.286017529747108, 48.88188419392366]}";294;17;17/164;51;BOULEVARD GOUVION SAINT CYR;596295.8754;131272.836242;6 h - 22 h
48.8833450337, 2.32631183278;"{""type"": ""Point"", ""coordinates"": [2.326311832778868, 48.88334503374101]}";297;17;17/179;face 10;BOULEVARD DES BATIGNOLLES;599251.076022;131434.091437;24 h / 24
48.884382393, 2.3302750002;"{""type"": ""Point"", ""coordinates"": [2.330275000203259, 48.88438239298197]}";301;18;18/104;face 118;BOULEVARD DE CLICHY;599541.736;131549.415;24 h / 24
48.8844550441, 2.34273602653;"{""type"": ""Point"", ""coordinates"": [2.342736026528085, 48.88445504408538]}";303;18;18/106;;PLACE SUZANNE VALADON;600455.579621;131557.494514;24 h / 24
48.8920795027, 2.36154810531;"{""type"": ""Point"", ""coordinates"": [2.361548105312066, 48.8920795026513]}";309;18;18/112;opposé au 10;RUE DE L EVANGILE;601834.907908;132405.626891;6 h - 22 h
48.8884941411, 2.34943063436;"{""type"": ""Point"", ""coordinates"": [2.349430634358364, 48.88849414111792]}";311;18;18/114;43;BOULEVARD BARBES;600946.461931;132006.707691;24 h / 24
48.8832470829, 2.34590618688;"{""type"": ""Point"", ""coordinates"": [2.345906186882481, 48.88324708289284]}";318;18;18/122;face 52;BOULEVARD DE ROCHECHOUART;600688.082644;131423.19272;24 h / 24
48.9010611628, 2.33553744078;"{""type"": ""Point"", ""coordinates"": [2.335537440784673, 48.90106116282343]}";319;18;18/123;opposé au 94;RUE JEAN HENRI FABRE;599927.699332;133404.087108;6 h - 22 h
48.8978997141, 2.32937581204;"{""type"": ""Point"", ""coordinates"": [2.329375812035528, 48.89789971412332]}";324;18;18/134;2;AVENUE DE LA PORTE DE SAINT OUEN;599475.945;133052.556;24 h / 24
48.898773308, 2.36929812409;"{""type"": ""Point"", ""coordinates"": [2.369298124088574, 48.89877330803369]}";326;18;18/141;face 3;BOULEVARD NEY;602402.858;133150.201;6 h - 22 h
48.8755544143, 2.39779898431;"{""type"": ""Point"", ""coordinates"": [2.397798984308038, 48.87555441425665]}";341;19;19/104;251;RUE DE BELLEVILLE;604494.479014;130569.550875;6 h - 22 h
48.8784476343, 2.37394970898;"{""type"": ""Point"", ""coordinates"": [2.373949708978971, 48.87844763434919]}";344;19;19/107;29;AVENUE MATHURIN MOREAU;602744.996148;130890.131526;6 h - 22 h
48.8958345397, 2.37566147354;"{""type"": ""Point"", ""coordinates"": [2.375661473541809, 48.89583453970983]}";346;19;19/109;92;RUE CURIAL;602869.554281;132823.631137;6 h - 22 h
48.8973126836, 2.38565335157;"{""type"": ""Point"", ""coordinates"": [2.385653351572138, 48.89731268357005]}";354;19;19/119;26 bis;AVENUE CORENTIN CARIOU;603602.045605;132988.431616;24 h / 24
48.8888356217, 2.37903396915;"{""type"": ""Point"", ""coordinates"": [2.379033969150523, 48.88883562170698]}";358;19;19/125;;RUE DE CRIMEE;603117.257;132045.481;6 h - 1 h
48.8909604073, 2.37724299499;"{""type"": ""Point"", ""coordinates"": [2.3772429949868332, 48.890960407287245]}";360;19;19/128;100;AVENUE DE FLANDRE;602985.799516;132281.685929;6 h - 22 h
48.8706908077, 2.40935900155;"{""type"": ""Point"", ""coordinates"": [2.409359001552625, 48.8706908077231]}";370;20;20/102;;PLACE DE L ADJUDANT VINCENOT;605342.916372;130029.467056;6 h - 22 h
48.8667550376, 2.38338973341;"{""type"": ""Point"", ""coordinates"": [2.383389733409092, 48.86675503761971]}";372;20;20/104;face 148;BOULEVARD DE MENILMONTANT;603438.173934;129590.294709;24 h / 24
48.8583381123, 2.41471511824;"{""type"": ""Point"", ""coordinates"": [2.414715118235164, 48.85833811229018]}";374;20;20/106;;AVENUE DU PROFESSEUR ANDRE LEMIERE;605737.238008;128656.232131;6 h - 22 h
48.8553275619, 2.41523391124;"{""type"": ""Point"", ""coordinates"": [2.415233911242912, 48.85532756186436]}";379;20;20/111;12;AVENUE DU PROFESSEUR ANDRE LEMIERE;605775.651784;128321.496522;6 h - 22 h
48.8570490165, 2.4045172617;"{""type"": ""Point"", ""coordinates"": [2.404517261700919, 48.85704901651628]}";381;20;20/113;face 121;RUE DES PYRENEES;604989.102;128512.16;6 h - 22 h
48.8649497422, 2.39471760215;"{""type"": ""Point"", ""coordinates"": [2.394717602147172, 48.864949742210534]}";385;20;20/121;face 4;PLACE MARTIN NADAUD;604269.364671;129390.124661;24 h / 24
48.8684257357, 2.38988864716;"{""type"": ""Point"", ""coordinates"": [2.3898886471572203, 48.86842573567739]}";387;20;20/127;3;RUE SORBIER;603914.818137;129776.394991;24 h / 24
48.8631566853, 2.34183617987;"{""type"": ""Point"", ""coordinates"": [2.341836179865835, 48.863156685268876]}";7;01;1/128;39;PLACE DES DEUX ECUS;600389.74031;129189.09703;24 h / 24
48.8602837777, 2.34647836638;"{""type"": ""Point"", ""coordinates"": [2.34647836638173, 48.86028377771548]}";8;01;1/130;2;RUE DE LA LINGERIE;600730.366008;128869.662525;24 h / 24
48.8689183629, 2.34062639783;"{""type"": ""Point"", ""coordinates"": [2.340626397833137, 48.8689183629196]}";15;02;2/109;face 13;PLACE DE LA BOURSE;600300.950767;129829.794032;6 h - 22 h
48.8702743131, 2.33066568733;"{""type"": ""Point"", ""coordinates"": [2.330665687327337, 48.8702743131037]}";17;02;2/112;27;BOULEVARD DES CAPUCINES;599570.255758;129980.584519;24 h / 24
