geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8548881939, 2.3728553855;"{""type"": ""Point"", ""coordinates"": [2.372855385502981, 48.85488819385095]}";125;11;11/104;27;RUE DE LA ROQUETTE;602665.978695;128270.265872;24 h / 24
48.8521369726, 2.393718343;"{""type"": ""Point"", ""coordinates"": [2.393718342998497, 48.85213697258905]}";126;11;11/105;44;AVENUE PHILIPPE AUGUSTE;604197.125754;127965.279421;6 h - 22 h
48.8586921502, 2.38394554725;"{""type"": ""Point"", ""coordinates"": [2.383945547253485, 48.85869215015876]}";133;11;11/114;135;RUE DE LA ROQUETTE;603479.507848;128693.721446;6 h - 1 h
48.839165346, 2.39230258734;"{""type"": ""Point"", ""coordinates"": [2.39230258734243, 48.839165346012265]}";149;12;12/103;26;BOULEVARD DE REUILLY;604094.290085;126522.747134;6 h - 22 h
48.8444926866, 2.37744419191;"{""type"": ""Point"", ""coordinates"": [2.377444191914515, 48.84449268657988]}";151;12;12/107;29;RUE ROLAND BARTHES;603003.323724;127114.450731;24 h / 24
48.8449844522, 2.38031784261;"{""type"": ""Point"", ""coordinates"": [2.380317842611193, 48.84498445220782]}";155;12;12/115;111;AVENUE DAUMESNIL;603214.20398;127169.254188;24 h / 24
48.84368377, 2.40188520758;"{""type"": ""Point"", ""coordinates"": [2.40188520758276, 48.843683770004624]}";158;12;12/120;54;BOULEVARD DE PICPUS;604797.249754;127025.764724;6 h - 22 h
48.8471076938, 2.40747877396;"{""type"": ""Point"", ""coordinates"": [2.407478773963453, 48.84710769383865]}";161;12;12/123;90;COURS DE VINCENNES;605207.441016;127406.877939;6 h - 22 h
48.84923929, 2.37108368746;"{""type"": ""Point"", ""coordinates"": [2.371083687457174, 48.84923929002003]}";162;12;12/131;36;AVENUE DAUMESNIL;602536.25595;127642.042305;24 h / 24
48.8441411997, 2.44113275967;"{""type"": ""Point"", ""coordinates"": [2.441132759674045, 48.84414119973615]}";169;12;12/162;;AVENUE DE NOGENT;607677.805027;127079.874145;6 h - 22 h
48.8199697602, 2.34772693476;"{""type"": ""Point"", ""coordinates"": [2.347726934756863, 48.81996976021128]}";171;13;13/102;79;BOULEVARD KELLERMANN;600822.613241;124386.725951;6 h - 22 h
48.8223447327, 2.3727636369;"{""type"": ""Point"", ""coordinates"": [2.372763636895758, 48.82234473268878]}";173;13;13/106;;AVENUE CLAUDE REGAUD;602660.9624;124651.404952;6 h - 22 h
48.8226634817, 2.36685643725;"{""type"": ""Point"", ""coordinates"": [2.36685643724587, 48.82266348173257]}";175;13;13/108;27;AVENUE D IVRY;602227.19647;124686.65815;6 h - 22 h
48.8189769485, 2.3575912199;"{""type"": ""Point"", ""coordinates"": [2.357591219899253, 48.81897694851295]}";177;13;13/111;5;BOULEVARD KELLERMANN;601546.989378;124276.480113;24 h / 24
48.8266907029, 2.34180648779;"{""type"": ""Point"", ""coordinates"": [2.341806487785599, 48.82669070294048]}";178;13;13/112;face 129;RUE DE LA GLACIERE;600387.820229;125134.052353;6 h - 22 h
48.8281983631, 2.35845319705;"{""type"": ""Point"", ""coordinates"": [2.358453197049667, 48.82819836307335]}";181;13;13/116;face 159;AVENUE DE CHOISY;601609.995;125301.927;6 h - 22 h
48.8293762307, 2.36530148206;"{""type"": ""Point"", ""coordinates"": [2.365301482057994, 48.82937623074487]}";182;13;13/117;;RUE CLISSON;602112.740357;125433.076281;24 h / 24
48.8311339821, 2.34443170401;"{""type"": ""Point"", ""coordinates"": [2.344431704008934, 48.83113398213422]}";185;13;13/123;100;BOULEVARD AUGUSTE BLANQUI;600580.518255;125628.165533;24 h / 24
48.8282285074, 2.376734206;"{""type"": ""Point"", ""coordinates"": [2.376734206003274, 48.82822850742154]}";186;13;13/126;38;RUE DU CHEVALERET;602952.167268;125305.833447;6 h - 22 h
48.8352392611, 2.36878261008;"{""type"": ""Point"", ""coordinates"": [2.368782610076463, 48.83523926106059]}";189;13;13/130;44;BOULEVARD VINCENT AURIOL;602368.040542;126085.15359;24 h / 24
48.8381106104, 2.32233836209;"{""type"": ""Point"", ""coordinates"": [2.322338362086393, 48.838110610351656]}";200;14;14/103;88;AVENUE DU MAINE;598958.692725;126404.038189;6 h - 1 h
48.8354861014, 2.31779797752;"{""type"": ""Point"", ""coordinates"": [2.31779797751881, 48.835486101365184]}";201;14;14/104;opposé au 3;RUE DE L ABBE SOULANGE BODIN;598625.334013;126112.263413;6 h - 22 h
48.8249885208, 2.31127922285;"{""type"": ""Point"", ""coordinates"": [2.311279222850022, 48.824988520831646]}";203;14;14/106;11;AVENUE MAURICE D OCAGNE;598146.405218;124945.063541;6 h - 22 h
48.8322602151, 2.3253096623;"{""type"": ""Point"", ""coordinates"": [2.325309662299757, 48.832260215072495]}";210;14;14/117;;AVENUE DU MAINE;599176.698399;125753.433241;6 h - 22 h
48.8339254348, 2.31456172274;"{""type"": ""Point"", ""coordinates"": [2.314561722738549, 48.83392543480147]}";219;14;14/132;21;RUE DE GERGOVIE;598387.714458;125938.780053;6 h - 22 h
48.84733414, 2.31095990545;"{""type"": ""Point"", ""coordinates"": [2.310959905453926, 48.84733414001092]}";230;15;15/102;4;PLACE DE BRETEUIL;598123.817843;127429.921207;6 h - 22 h
48.8409122347, 2.31642763034;"{""type"": ""Point"", ""coordinates"": [2.316427630336515, 48.84091223472186]}";232;15;15/104;face 55;BOULEVARD DE VAUGIRARD;598524.903832;126715.679309;6 h - 22 h
48.838073564, 2.27798287788;"{""type"": ""Point"", ""coordinates"": [2.277982877876473, 48.83807356396192]}";237;15;15/111;;RUE SAINT CHARLES;595702.803335;126401.49492;6 h - 22 h
48.8360452422, 2.29341777565;"{""type"": ""Point"", ""coordinates"": [2.293417775646962, 48.83604524220066]}";239;15;15/113;face 6;RUE DESNOUETTES;596835.661757;126175.175394;24 h / 24
48.8396660531, 2.30195906663;"{""type"": ""Point"", ""coordinates"": [2.301959066629967, 48.839666053055645]}";243;15;15/118;277;RUE DE VAUGIRARD;597462.842628;126577.487374;6 h - 22 h
48.8346285188, 2.284141152;"{""type"": ""Point"", ""coordinates"": [2.284141151998802, 48.834628518846834]}";244;15;15/119;83;RUE DESNOUETTES;596154.578948;126018.069017;6 h - 22 h
48.8425893817, 2.29213723446;"{""type"": ""Point"", ""coordinates"": [2.292137234463806, 48.84258938168304]}";245;15;15/121;26;PLACE ETIENNE PERNET;596742.09359;126902.943297;24 h / 24
48.8447973119, 2.29047953946;"{""type"": ""Point"", ""coordinates"": [2.290479539458573, 48.84479731192474]}";247;15;15/126;1;PLACE VIOLET;596620.57406;127148.540223;6 h - 22 h
48.8462434637, 2.27762807252;"{""type"": ""Point"", ""coordinates"": [2.277628072521375, 48.84624346371504]}";248;15;15/127;face 2;AVENUE EMILE ZOLA;595677.474395;127310.013436;24 h / 24
48.8490352799, 2.28792008292;"{""type"": ""Point"", ""coordinates"": [2.287920082919212, 48.84903527987034]}";252;15;15/135;;RUE DU THEATRE;596433.030869;127619.923721;6 h - 1 h
48.8383970816, 2.25861985018;"{""type"": ""Point"", ""coordinates"": [2.258619850176145, 48.83839708158384]}";266;16;16/103;224;AVENUE DE VERSAILLES;594281.510382;126438.762687;6 h - 22 h
48.8623619639, 2.26822808174;"{""type"": ""Point"", ""coordinates"": [2.26822808173859, 48.86236196388364]}";271;16;16/108;;BOULEVARD SUCHET;594989.222;129102.985;6 h - 22 h
48.8412299523, 2.25461090743;"{""type"": ""Point"", ""coordinates"": [2.254610907429328, 48.841229952302605]}";280;16;16/137;16;AVENUE DU PARC DES PRINCES;593987.582726;126754.09268;6 h - 22 h
48.878920802, 2.29447373547;"{""type"": ""Point"", ""coordinates"": [2.294473735472731, 48.87892080201218]}";285;17;17/106;4;AVENUE NIEL;596915.865744;130942.92271;6 h - 22 h
48.8840275667, 2.30420618261;"{""type"": ""Point"", ""coordinates"": [2.304206182609653, 48.8840275667162]}";288;17;17/117;72;AVENUE DE VILLIERS;597629.931071;131510.445404;6 h - 22 h
48.8948461073, 2.31429354624;"{""type"": ""Point"", ""coordinates"": [2.314293546244285, 48.894846107330885]}";292;17;17/142;132;BOULEVARD BESSIERES;598370.067462;132713.207265;6 h - 22 h
48.8814960028, 2.29553251987;"{""type"": ""Point"", ""coordinates"": [2.29553251986901, 48.88149600278608]}";295;17;17/176;face 32;AVENUE NIEL;596993.678832;131229.243805;6 h - 22 h
48.8856323541, 2.35340146335;"{""type"": ""Point"", ""coordinates"": [2.353401463347953, 48.885632354085274]}";298;18;18/101;face 17;RUE POLONCEAU;601237.712557;131688.532798;6 h - 22 h
48.8841038721, 2.3521864294;"{""type"": ""Point"", ""coordinates"": [2.352186429401018, 48.88410387209199]}";305;18;18/108;36;RUE DE LA CHARBONNIERE;601148.643028;131518.545284;6 h - 22 h
48.8976316127, 2.3589156474;"{""type"": ""Point"", ""coordinates"": [2.358915647403526, 48.89763161271532]}";306;18;18/109;87;RUE DE LA CHAPELLE;601641.703893;133022.964302;6 h - 22 h
48.8890639193, 2.34515427741;"{""type"": ""Point"", ""coordinates"": [2.3451542774097662, 48.88906391929743]}";313;18;18/116;23;RUE LAMBERT;600632.869283;132070.022209;24 h / 24
48.9007058379, 2.34022806856;"{""type"": ""Point"", ""coordinates"": [2.340228068562176, 48.90070583792087]}";315;18;18/118;opposé au 17;RUE LIEUTENANT COLONEL DAX;600271.578439;133364.581352;6 h - 22 h
48.8957747391, 2.34600060986;"{""type"": ""Point"", ""coordinates"": [2.346000609858457, 48.895774739133586]}";321;18;18/128;face 51;PLACE ALBERT KAHN;600694.841248;132816.277434;6 h - 22 h
48.9008257902, 2.34380740461;"{""type"": ""Point"", ""coordinates"": [2.3438074046061512, 48.90082579022458]}";331;18;18/153;;AVENUE DE LA PORTE DE CLIGNANCOURT;600533.985976;133377.939589;6 h - 22 h
48.8991988465, 2.3701265059;"{""type"": ""Point"", ""coordinates"": [2.370126505900549, 48.89919884647476]}";332;18;18/155;3;AVENUE DE LA PORTE D AUBERVILLIERS;602463.569921;133197.548016;6 h - 22 h
48.8842143528, 2.32896961728;"{""type"": ""Point"", ""coordinates"": [2.3289696172819863, 48.88421435284178]}";333;18;18/156;130 ter;BOULEVARD DE CLICHY;599446.002228;131530.737518;24 h / 24
48.884078656, 2.35342927125;"{""type"": ""Point"", ""coordinates"": [2.353429271251458, 48.884078656036344]}";335;18;18/161;face 90;BOULEVARD DE LA CHAPELLE;601239.789498;131515.761034;24 h / 24
48.8977589087, 2.34164200768;"{""type"": ""Point"", ""coordinates"": [2.341642007680557, 48.89775890869896]}";336;18;18/166;9;BOULEVARD NEY;600375.257507;133036.887169;6 h - 22 h
48.893502449, 2.33689209089;"{""type"": ""Point"", ""coordinates"": [2.336892090886547, 48.89350244895922]}";337;18;18/175;face 154;RUE ORDENER;600027.009708;132563.552928;6 h - 22 h
48.899194262, 2.34396370204;"{""type"": ""Point"", ""coordinates"": [2.343963702043887, 48.89919426197595]}";338;18;18/190;15;AVENUE DE LA PORTE DE CLIGNANCOURT;600545.461227;133196.513851;6 h - 22 h
48.8806802415, 2.40040879932;"{""type"": ""Point"", ""coordinates"": [2.400408799321377, 48.88068024153816]}";348;19;19/111;;BOULEVARD D ALGERIE;604685.427548;131139.705313;6 h - 22 h
48.887235116, 2.37583653584;"{""type"": ""Point"", ""coordinates"": [2.375836535842065, 48.88723511603302]}";350;19;19/115;face 57;QUAI DE LA SEINE;602882.882125;131867.376095;6 h - 1 h
48.8857730297, 2.37036598805;"{""type"": ""Point"", ""coordinates"": [2.37036598804957, 48.88577302968561]}";353;19;19/118;25;AVENUE DE FLANDRE;602481.788;131704.596;24 h / 24
48.8886953619, 2.37392407329;"{""type"": ""Point"", ""coordinates"": [2.373924073285048, 48.888695361853834]}";357;19;19/124;69;AVENUE DE FLANDRE;602742.557971;132029.684906;24 h / 24
48.8778639152, 2.38125082319;"{""type"": ""Point"", ""coordinates"": [2.381250823187719, 48.87786391522245]}";364;19;19/138;3;RUE BOTZARIS;603280.534;130825.514;24 h / 24
48.8554039905, 2.40008152756;"{""type"": ""Point"", ""coordinates"": [2.400081527560205, 48.85540399050096]}";369;20;20/101;101;RUE ALEXANDRE DUMAS;604663.775999;128328.948732;6 h - 22 h
48.8482636473, 2.40003159415;"{""type"": ""Point"", ""coordinates"": [2.400031594154966, 48.84826364729009]}";375;20;20/107;9;COURS DE VINCENNES;604660.775624;127534.934353;6 h - 22 h
48.8557718796, 2.40991820214;"{""type"": ""Point"", ""coordinates"": [2.409918202136271, 48.85577187957395]}";378;20;20/110;;RUE DE LA CROIX SAINT SIMON;605385.541912;128370.512248;6 h - 22 h
48.852719661, 2.40898871152;"{""type"": ""Point"", ""coordinates"": [2.4089887115214133, 48.85271966099392]}";382;20;20/114;64;RUE DU VOLGA;605317.661455;128031.03772;6 h - 22 h
48.8641209728, 2.40898577792;"{""type"": ""Point"", ""coordinates"": [2.408985777918256, 48.86412097277738]}";384;20;20/118;6;PLACE DE LA PORTE DE BAGNOLET;605316.235561;129298.870868;24 h / 24
48.8705858922, 2.39820179353;"{""type"": ""Point"", ""coordinates"": [2.398201793526344, 48.87058589215593]}";388;20;20/132;157;RUE DE MENILMONTANT;604524.473044;130017.071933;6 h - 22 h
48.8600157102, 2.40102151007;"{""type"": ""Point"", ""coordinates"": [2.401021510074872, 48.860015710231416]}";391;20;20/144;171;RUE DES PYRENEES;604732.315642;128841.833617;6 h - 22 h
48.8598552359, 2.348837232;"{""type"": ""Point"", ""coordinates"": [2.348837231996497, 48.85985523591091]}";1;01;1/103;23;BOULEVARD DE SEBASTOPOL;600903.447557;128822.034078;24 h / 24
48.8580216455, 2.34737781833;"{""type"": ""Point"", ""coordinates"": [2.347377818331577, 48.858021645472014]}";4;01;1/113;2;RUE SAINT DENIS;600796.395;128618.121;24 h / 24
48.8623402992, 2.34220322324;"{""type"": ""Point"", ""coordinates"": [2.342203223237543, 48.862340299170015]}";6;01;1/125;44;RUE BERGER;600416.675609;129098.316318;6 h - 1 h
48.8636624932, 2.35096273778;"{""type"": ""Point"", ""coordinates"": [2.350962737779847, 48.86366249323445]}";9;02;2/101;69;BOULEVARD DE SEBASTOPOL;601059.322524;129245.431608;6 h - 22 h
48.8674378447, 2.34382098738;"{""type"": ""Point"", ""coordinates"": [2.343820987383387, 48.86743784465512]}";14;02;2/108;37;RUE DU LOUVRE;600535.317619;129665.177395;6 h - 22 h
48.8681621896, 2.34845002883;"{""type"": ""Point"", ""coordinates"": [2.348450028825485, 48.86816218964742]}";18;02;2/113;91;RUE D ABOUKIR;600874.897269;129745.768656;6 h - 22 h
48.8694083017, 2.35350208429;"{""type"": ""Point"", ""coordinates"": [2.353502084290691, 48.86940830167571]}";19;02;2/114;15;BOULEVARD SAINT DENIS;601245.486321;129884.408648;6 h - 22 h
48.8694908822, 2.33834576652;"{""type"": ""Point"", ""coordinates"": [2.338345766521215, 48.86949088217933]}";20;02;2/115;;RUE MENARS;600133.64488;129893.45192;6 h - 22 h
48.866017922, 2.3525443675;"{""type"": ""Point"", ""coordinates"": [2.352544367496988, 48.86601792203414]}";23;03;3/101;90;BOULEVARD DE SEBASTOPOL;601175.307562;129507.380561;6 h - 22 h
48.8635546297, 2.36630552167;"{""type"": ""Point"", ""coordinates"": [2.366305521668965, 48.86355462974816]}";27;03;3/107;7/9;BOULEVARD DU TEMPLE;602184.977248;129233.768479;24 h / 24
48.8649756655, 2.36013286512;"{""type"": ""Point"", ""coordinates"": [2.360132865119649, 48.8649756655174]}";28;03;3/109;face 171;RUE DU TEMPLE;601732.06015;129391.627821;6 h - 22 h
48.8627443804, 2.35936485767;"{""type"": ""Point"", ""coordinates"": [2.359364857665695, 48.86274438040608]}";30;03;3/119;25;RUE PASTOURELLE;601675.788994;129143.489889;6 h - 22 h
48.8538120546, 2.34924320775;"{""type"": ""Point"", ""coordinates"": [2.349243207749814, 48.85381205460918]}";35;04;4/106;;RUE D ARCOLE;600933.344034;128150.032965;24 h / 24
48.846225219, 2.35487219277;"{""type"": ""Point"", ""coordinates"": [2.354872192769042, 48.84622521898682]}";47;05;5/110;4;RUE JUSSIEU;601346.60598;127306.45667;24 h / 24
48.8413080525, 2.35622468717;"{""type"": ""Point"", ""coordinates"": [2.356224687171632, 48.84130805247418]}";49;05;5/132;26;RUE BUFFON;601446.008277;126759.689275;6 h - 22 h
48.8416407744, 2.34869156688;"{""type"": ""Point"", ""coordinates"": [2.348691566881903, 48.8416407744238]}";50;05;5/137;8;RUE JEAN CALVIN;600893.073707;126796.570851;24 h / 24
48.8478120465, 2.34398782402;"{""type"": ""Point"", ""coordinates"": [2.343987824021736, 48.84781204647996]}";51;05;5/140;123;RUE SAINT JACQUES;600547.759073;127482.775609;6 h - 1 h
48.8379520924, 2.35118650653;"{""type"": ""Point"", ""coordinates"": [2.3511865065303432, 48.83795209241379]}";54;05;5/145;9;AVENUE DES GOBELINS;601076.277509;126386.419289;6 h - 1 h
48.8412025712, 2.33232860028;"{""type"": ""Point"", ""coordinates"": [2.332328600276936, 48.8412025712266]}";55;06;6/102;135bis;BOULEVARD DU MONTPARNASSE;599692.041665;126747.777735;6 h - 22 h
48.8513882825, 2.34280307367;"{""type"": ""Point"", ""coordinates"": [2.3428030736671053, 48.851388282463525]}";60;06;6/143;75;BOULEVARD SAINT GERMAIN;600460.779488;127880.447691;24 h / 24
48.8582136973, 2.29250251202;"{""type"": ""Point"", ""coordinates"": [2.292502512024777, 48.85821369726608]}";62;07;7/101;;QUAI BRANLY;596769.929327;128640.3621;24 h / 24
48.8543011743, 2.30508321089;"{""type"": ""Point"", ""coordinates"": [2.305083210894203, 48.85430117434956]}";68;07;7/128;2;PLACE JOFFRE;597692.850345;128204.823117;24 h / 24
48.8747742506, 2.30321065908;"{""type"": ""Point"", ""coordinates"": [2.30321065907809, 48.87477425058375]}";69;08;8/101;12;PLACE GEORGES GUILLAUMIN;597556.461584;130481.50217;24 h / 24
48.8725278384, 2.32653045058;"{""type"": ""Point"", ""coordinates"": [2.326530450583943, 48.87252783837434]}";70;08;8/102;;RUE VIGNON;599266.942001;130231.209762;24 h / 24
48.8688403461, 2.30122008396;"{""type"": ""Point"", ""coordinates"": [2.301220083956005, 48.86884034607284]}";72;08;8/107;32;AVENUE GEORGE V;597410.139112;129821.714347;6 h - 22 h
48.8743584041, 2.32045168942;"{""type"": ""Point"", ""coordinates"": [2.3204516894207, 48.874358404079125]}";77;08;8/122;44;BOULEVARD MALESHERBES;598821.087172;130434.846545;6 h - 22 h
48.8718385288, 2.36546558631;"{""type"": ""Point"", ""coordinates"": [2.365465586306066, 48.87183852882539]}";101;10;10/111;1;AVENUE RICHERAND;602123.006094;130154.919822;24 h / 24
48.876196047, 2.37218354181;"{""type"": ""Point"", ""coordinates"": [2.372183541812252, 48.87619604703509]}";103;10;10/114;61;BOULEVARD DE LA VILLETTE;602615.573548;130639.69053;24 h / 24
48.8757495125, 2.36046358018;"{""type"": ""Point"", ""coordinates"": [2.360463580181261, 48.87574951247397]}";104;10;10/115;;RUE DU FAUBOURG SAINT MARTIN;601755.950228;130589.694807;24 h / 24
48.8757753953, 2.35625135327;"{""type"": ""Point"", ""coordinates"": [2.356251353269756, 48.87577539533031]}";110;10;10/121;;RUE DU FAUBOURG SAINT DENIS;601446.987195;130592.483243;6 h - 22 h
48.8683953934, 2.3634091433;"{""type"": ""Point"", ""coordinates"": [2.3634091432953293, 48.86839539335952]}";119;10;10/141;12;PLACE DE LA REPUBLIQUE;601972.290445;129771.984661;24 h / 24
48.8541358706, 2.37766692086;"{""type"": ""Point"", ""coordinates"": [2.377666920861265, 48.85413587061923]}";128;11;11/107;125;AVENUE LEDRU ROLLIN;603019.092716;128186.788715;6 h - 1 h
48.859234607, 2.38912226664;"{""type"": ""Point"", ""coordinates"": [2.389122266636218, 48.85923460704497]}";130;11;11/110;opposé 13;BOULEVARD DE MENILMONTANT;603859.303085;128754.295482;6 h - 22 h
48.8648972177, 2.37608280409;"{""type"": ""Point"", ""coordinates"": [2.37608280408982, 48.86489721769716]}";136;11;11/124;58;AVENUE DE LA REPUBLIQUE;602902.228819;129383.395901;24 h / 24
48.86338089, 2.37103957683;"{""type"": ""Point"", ""coordinates"": [2.371039576831422, 48.863380890046976]}";138;11;11/127;face 48;BOULEVARD VOLTAIRE;602532.309;129214.597;6 h - 22 h
48.8570427775, 2.37935147554;"{""type"": ""Point"", ""coordinates"": [2.379351475541911, 48.85704277750876]}";143;11;11/138;face 170;AVENUE LEDRU ROLLIN;603142.525101;128510.107857;24 h / 24
48.8717292324, 2.3761963156;"{""type"": ""Point"", ""coordinates"": [2.37619631559805, 48.8717292323979]}";145;11;11/143;116;RUE DU FAUBOURG DU TEMPLE;602910.161741;130143.125126;24 h / 24
48.847134816, 2.38420732177;"{""type"": ""Point"", ""coordinates"": [2.384207321769167, 48.847134816025545]}";148;12;12/101;57;BOULEVARD DIDEROT;603499.519807;127408.549677;6 h - 22 h
48.8332259474, 2.4040143783;"{""type"": ""Point"", ""coordinates"": [2.40401437830226, 48.83322594735412]}";156;12;12/116;7;RUE JOSEPH CHAILLEY;604954.556584;125862.984773;6 h - 1 h
48.845288881, 2.3692517539;"{""type"": ""Point"", ""coordinates"": [2.3692517538974123, 48.84528888096303]}";157;12;12/118;4;BOULEVARD DIDEROT;602402.001843;127202.693815;6 h - 22 h
48.8474448003, 2.3954825438;"{""type"": ""Point"", ""coordinates"": [2.395482543798551, 48.84744480034343]}";159;12;12/121;opposé au 16;PLACE DE LA NATION;604326.993979;127443.60647;24 h / 24
48.8396213356, 2.37821862947;"{""type"": ""Point"", ""coordinates"": [2.378218629470113, 48.83962133557301]}";164;12;12/139;12;BOULEVARD DE BERCY;603060.459725;126572.784057;24 h / 24
48.8297799548, 2.36896816751;"{""type"": ""Point"", ""coordinates"": [2.368968167510454, 48.82977995480669]}";183;13;13/119;26;PLACE JEANNE D ARC;602381.919373;125478.080294;24 h / 24
48.8280565621, 2.35653249546;"{""type"": ""Point"", ""coordinates"": [2.356532495455818, 48.828056562116274]}";184;13;13/120;46;AVENUE D ITALIE;601468.982924;125286.119202;6 h - 22 h
48.8327135265, 2.36158054833;"{""type"": ""Point"", ""coordinates"": [2.361580548327621, 48.8327135265497]}";188;13;13/128;151;BOULEVARD VINCENT AURIOL;601839.438459;125804.088421;6 h - 22 h
48.8430740443, 2.36433399581;"{""type"": ""Point"", ""coordinates"": [2.364333995814195, 48.84307404434087]}";192;13;13/144;3;BOULEVARD DE L HOPITAL;602041.158;126956.257;24 h / 24
48.8195836923, 2.36398233556;"{""type"": ""Point"", ""coordinates"": [2.363982335555626, 48.81958369228549]}";193;13;13/145;117;BOULEVARD MASSENA;602016.28177;124344.102031;24 h / 24
48.8189867194, 2.34433502149;"{""type"": ""Point"", ""coordinates"": [2.344335021485223, 48.81898671943687]}";198;14;14/101;2;BOULEVARD JOURDAN;600573.551621;124277.379469;6 h - 22 h
48.8245410206, 2.33948840256;"{""type"": ""Point"", ""coordinates"": [2.339488402556159, 48.82454102064576]}";202;14;14/105;face 30;AVENUE REILLE;600217.631351;124894.996495;24 h / 24
48.831657966, 2.32017895944;"{""type"": ""Point"", ""coordinates"": [2.320178959442557, 48.83165796601526]}";209;14;14/116;face 36;RUE DIDOT;598800.022948;125686.531295;24 h / 24
48.8252447717, 2.31580729655;"{""type"": ""Point"", ""coordinates"": [2.315807296545839, 48.82524477168962]}";220;14;14/133;82;BOULEVARD BRUNE;598478.881459;124973.457695;6 h - 22 h
48.8226298504, 2.32885652026;"{""type"": ""Point"", ""coordinates"": [2.328856520257, 48.822629850444294]}";221;14;14/136;70;BOULEVARD JOURDAN;599436.968412;124682.496635;6 h - 22 h
48.8279445001, 2.305654036;"{""type"": ""Point"", ""coordinates"": [2.305654035996627, 48.82794450006662]}";225;14;14/147;face 231;RUE RAYMOND LOSSERAND;597733.5194;125273.924266;6 h - 22 h
48.8312560816, 2.31610939765;"{""type"": ""Point"", ""coordinates"": [2.3161093976509513, 48.83125608158948]}";226;14;14/148;189;RUE D ALESIA;598501.248;125641.914;24 h / 24
48.8325740517, 2.31141918096;"{""type"": ""Point"", ""coordinates"": [2.311419180963207, 48.83257405172335]}";228;14;14/157;147;RUE VERCINGETORIX;598156.967588;125788.577025;6 h - 22 h
48.8282841151, 2.30336605485;"{""type"": ""Point"", ""coordinates"": [2.303366054846169, 48.82828411508565]}";229;15;15/101;185;BOULEVARD LEFEBVRE;597565.554024;125311.760986;6 h - 22 h
48.8309615645, 2.29183408716;"{""type"": ""Point"", ""coordinates"": [2.291834087155501, 48.830961564502616]}";231;15;15/103;face 57;BOULEVARD LEFEBVRE;596719.068829;125609.934996;6 h - 22 h
48.8399779407, 2.32141091703;"{""type"": ""Point"", ""coordinates"": [2.321410917034976, 48.83997794074987]}";233;15;15/105;4;RUE DU COMMANDANT RENE MOUCHOTTE;598890.657062;126611.699922;24 h / 24
48.8460231192, 2.30890949564;"{""type"": ""Point"", ""coordinates"": [2.308909495642407, 48.84602311922872]}";234;15;15/106;;AVENUE DE SUFFREN;597973.282255;127284.187674;6 h - 22 h
48.8319295622, 2.30273348541;"{""type"": ""Point"", ""coordinates"": [2.302733485407442, 48.831929562242436]}";236;15;15/110;76;RUE BRANCION;597519.295669;125717.158035;6 h - 22 h
48.8390921089, 2.28255646788;"{""type"": ""Point"", ""coordinates"": [2.282556467883781, 48.839092108943134]}";240;15;15/115;face 170;RUE DE LOURMEL;596038.606573;126514.505826;6 h - 22 h
48.8392330434, 2.30633269023;"{""type"": ""Point"", ""coordinates"": [2.306332690229286, 48.839233043389605]}";258;15;15/148;face 7;RUE LA QUINTINIE;597783.856332;126529.198644;24 h / 24
48.8453782111, 2.29218246244;"{""type"": ""Point"", ""coordinates"": [2.292182462442717, 48.845378211146034]}";263;15;15/160;face 5;PLACE DU COMMERCE;596745.597541;127213.061131;6 h - 22 h
48.8555327403, 2.2898684072;"{""type"": ""Point"", ""coordinates"": [2.289868407196165, 48.85553274027016]}";264;15;15/161;;QUAI BRANLY;596576.466433;128342.354853;24 h / 24
48.8754279615, 2.27958777194;"{""type"": ""Point"", ""coordinates"": [2.279587771936101, 48.875427961532246]}";270;16;16/107;opposé 39;BOULEVARD DE L AMIRAL BRUIX;595823.772014;130555.236684;6 h - 22 h
48.8508303988, 2.27789099265;"{""type"": ""Point"", ""coordinates"": [2.277890992653795, 48.85083039880586]}";272;16;16/109;9;QUAI LOUIS BLERIOT;595697.17054;127820.068441;6 h - 22 h
